icode,brand,name,discount,old_price,price,qty,scraped_at
15168605,聲寶,4-6坪一級變頻冷暖空調,74折,23900,17900,8,2026-08-30 06:55:01
13683504,伊萊克斯,超級完美管家吸塵器HEPA進化版(黑/紅),27折,10900,2990,0,2026-08-30 06:55:01
15465827,Lenovo,15.3吋Ryzen 7 RTX5050電競筆電,68折,57990,39990,23,2026-08-30 06:55:01
8462055,NIKE,全白AIR FORCE 1 休閒鞋,69折,3600,2499,295,2026-08-30 06:55:01
6480933,禾聯,14吋遙控DC風扇 HDF-14A3,4折,2490,999,293,2026-08-30 06:55:01
11373476,東元,WiFi冷暖除溼淨化移動空調,32折,28800,9488,26,2026-08-30 06:55:01
14740370,Apple,AirPods Pro 3,88折,7890,6999,37,2026-08-30 06:55:01
15457201,THE VEGAN 樂維根,經典植物優蛋白2入(1KG/袋),6折,2160,1299,408,2026-08-30 06:55:01
15437770,飲后,超孅飲6盒(15包/盒),38折,7680,2980,193,2026-08-30 06:55:01
12855305,綠的寢飾,買一送一天絲床包枕套組or涼被,2折,3960,799,344,2026-08-30 06:55:01
10705911,Glolux,磁吸無線感應燈2入,31折,1798,569,296,2026-08-30 06:55:01
12991771,dyson,BP02強效極靜抗敏空氣清淨機,51折,32900,16900,125,2026-08-30 06:55:01
4892335,統一LP33,健字號益生菌膠囊30顆*10盒,57折,12000,6888,50,2026-08-30 06:55:01
15580936,日麗生,桐葉豐盈養髮液超值3入組,6折,4470,2685,130,2026-08-30 06:55:01
8106681,國際牌,610公升一級變頻冰箱,8折,39800,31888,27,2026-08-30 06:55:01
10019468,朵舒,棉仔紙超厚柔150抽x84包,46折,1800,829,429,2026-08-30 06:55:01
14794219,老爺酒店集團,2張套組★聯合住宿券,83折,7980,6650,38,2026-08-30 06:55:01
9509497,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選2箱組),68折,3512,2398,483,2026-08-30 06:55:01
11602572,元大珠寶,黃金金豆9999招財多選 附加玻璃瓶(0.27錢正負1厘),95折,6288,5988,53,2026-08-30 06:55:01
15512661,巴黎萊雅,金緻護髮油任選3入,69折,1737,1211,239,2026-08-30 06:55:01
11107558,毛孩時代,豆腐貓砂6L*6袋,52折,1920,999,203,2026-08-30 06:55:01
15553787,Google,Pixel 11 Pro 12G/256G,9折,40889,36990,48,2026-08-30 06:55:01
10520445,GoodSome 好東西,西班牙原裝進口酪梨油1000mlx3入,4折,2970,1188,214,2026-08-30 06:55:01
7467734,幸美生技,加拿大冷凍野生藍莓2kg(農殘/重金屬檢驗通過),56折,1780,999,484,2026-08-30 06:55:01
12047638,24HRS,3件組★經典款親膚無痕內衣-多色選,56折,2040,1160,481,2026-08-30 06:55:01
15248937,雅詩蘭黛,小棕瓶100送100ml,25折,15800,4011,192,2026-08-30 06:55:01
14007383,STL,現貨 韓國瑜伽 FRESH light Slit Cap 涼感 2分包袖 女 運動 長版 蓋臀 短袖 上衣(多色),75折,790,599,52,2026-08-30 06:55:01
14761090,BRITA,瞬熱溫控冰溫熱開飲機13芯,44折,31650,14119,27,2026-08-30 06:55:01
14208908,Le Creuset,Gourmand專業迷你鑄鐵鍋具3入組,33折,11880,3999,296,2026-08-30 06:55:01
