icode,brand,name,discount,old_price,price,qty,scraped_at
15068498,LARGAN,大立美 關健立克27盒,5折,29800,14999,45,2026-09-05 12:30:01
15520648,KERAIA 克萊亞,浮光織夢緹花/燙鑽針織上衣(兩款),24折,3980,990,175,2026-09-05 12:30:01
13676289,SK-II,煥亮精華50送30ml,48折,13579,6536,143,2026-09-05 12:30:01
14876829,CIAO,旨定罐、近海罐85/80g*24入,52折,1499,789,268,2026-09-05 12:30:01
15512661,巴黎萊雅,金緻護髮油任選3入,69折,1737,1211,231,2026-09-05 12:30:01
14487382,IRIS,美型靜音碎紙機★45分貝粉安靜,46折,4800,2222,22,2026-09-05 12:30:01
15341237,NIKE,AIR WINFLO 12 慢跑鞋,57折,3300,1899,195,2026-09-05 12:30:01
15548497,K-SWISS,經典盾牌Polo衫(男女任選),53折,1480,790,393,2026-09-05 12:30:01
6349347,亞培,倍力素腫瘤癌症專用即飲配方220ml x24入,83折,6579,5475,46,2026-09-05 12:30:01
15394907,必勝客,13吋大比薩(10選2),29折,1320,389,605,2026-09-05 12:30:01
11236766,Kotex 靠得住,草本/蔓越莓抑菌/好菌Plus+衛生棉 (17.5-35cm),24折,2398,599,1,2026-09-05 12:30:01
15564551,曼黛瑪璉,3套組-無鋼圈內衣 B-E罩杯,26折,6680,1780,218,2026-09-05 12:30:01
15230014,石頭科技,F25 RT GEN 2小白鯊零纏繞洗地機,41折,16800,6999,41,2026-09-05 12:30:01
14478745,大同,10人份不鏽鋼電鍋-奶茶色,7折,3890,2740,100,2026-09-05 12:30:01
14713220,豆豆音樂派對盒（兒歌有聲書+節奏樂器3件組）,豆豆音樂派對盒（兒歌有聲書+節奏樂器3件組）,55折,1800,997,22,2026-09-05 12:30:01
14950290,CENTRUM 善存,游離型葉黃素軟膠囊20mg 140顆(過年/年節/送禮),81折,1480,1199,245,2026-09-05 12:30:01
14634249,Gelovery 愷達生醫德國KD頂級97%高濃度魚油(40包組),Gelovery 愷達生醫德國KD頂級97%高濃度魚油(40包組),45折,19200,8800,257,2026-09-05 12:30:01
11585709,New Choice,綜合堅果桶2入,42折,2800,1198,246,2026-09-05 12:30:01
14004423,樂扣樂扣,不鏽鋼保鮮盒收納5件組,49折,1325,659,437,2026-09-05 12:30:01
13558264,UCC,117即溶咖啡90gx12罐/箱,73折,1899,1399,199,2026-09-05 12:30:01
11254687,台灣三洋,2-4坪一級變頻冷暖空調,7折,21090,14900,13,2026-09-05 12:30:01
15580936,日麗生,桐葉豐盈養髮液超值3入組,6折,4470,2685,133,2026-09-05 12:30:01
13181402,白蘭,洗衣精獨家囤貨組9/10包,35折,1790,629,367,2026-09-05 12:30:01
10575250,防潮家,90公升電子防潮箱(防潮除溼/省電耐用),5折,8190,4099,45,2026-09-05 12:30:01
15505041,PONY EFFECT】水透光妝前防護乳50g 2入組,PONY EFFECT】水透光妝前防護乳50g 2入組,5折,1900,950,313,2026-09-05 12:30:01
13590645,珈樂堤,生飲級製冷瞬熱三溫飲水機,58折,5290,3111,95,2026-09-05 12:30:01
8020360,老行家,燕窩膠原蛋白2瓶,65折,5800,3770,51,2026-09-05 12:30:01
14886480,OPPO,Find X9 (12G/256G),68折,28990,19990,29,2026-09-05 12:30:01
14189335,中山招待所,糕點任3入,73折,1080,799,380,2026-09-05 12:30:01
15649309,Vtech,超人氣多功能遊戲學習手錶,46折,1499,699,145,2026-09-05 12:30:01
13679578,satana,輕量防潑水旅行後背包(多款),59折,4200,2499,146,2026-09-05 12:30:01
6475228,正牛,韓國正宗大理石不沾深炒鍋30cm,39折,1299,519,180,2026-09-05 12:30:01
13349515,Philips,酷螢移動感應櫥壁燈47cm2入,67折,2980,1999,149,2026-09-05 12:30:01
