icode,brand,name,discount,old_price,price,qty,scraped_at
15255189,大研生醫,淨密樂蔓越莓甘露糖粉包24包X10盒,37折,11250,4250,300,2026-09-06 00:03:02
12660471,大研生醫,視易適葉黃素12入組,39折,23760,9350,500,2026-09-06 00:03:02
14881502,SONY,PS5 Slim光碟版,87折,19989,17580,0,2026-09-06 00:03:02
8936619,大研生醫,omega-3 84%德國頂級魚油15入(60粒/入),39折,29700,11680,500,2026-09-06 00:03:02
15488735,HERAN 禾聯,新一級能效6公升除濕機(HDH-12PS010),57折,6990,3990,200,2026-09-06 00:03:02
13523038,SNOWSTORMI,GL-S一件式側開秒穿雨衣(防水防爆雨寬版大尺寸機車雨衣),83折,1080,899,198,2026-09-06 00:03:02
10855247,港口王純金9999小金豆 1公克(1g 0.26錢 理財新時尚 攢出人生大金庫),港口王純金9999小金豆 1公克(1g 0.26錢 理財新時尚 攢出人生大金庫),91折,5888,5388,100,2026-09-06 00:03:02
15604911,UNDER ARMOUR,UA99精選 男鞋 女鞋 Surge 5 慢跑鞋 運動鞋(多款任選),36折,2480,899,1,2026-09-06 00:03:02
11849721,CeraVe,潤澤修護霜2入,62折,1238,769,299,2026-09-06 00:03:02
8462055,NIKE,全白AIR FORCE 1'07經典休閒鞋,69折,3600,2499,195,2026-09-06 00:03:02
13699298,鍋寶,鮮盾可微波保鮮盒6件組,3折,3680,1111,273,2026-09-06 00:03:02
14175119,法國皇家,室內貓飼料10kg,72折,3999,2899,247,2026-09-06 00:03:02
13027255,iHDoc,全能鎂(60粒/盒；3盒),4折,2970,1190,260,2026-09-06 00:03:02
15321467,Microsoft 微軟,Office2024家用版 盒裝,82折,5690,4690,77,2026-09-06 00:03:02
15512582,日南製藥,日本高濃度雪櫻 姬白錠10盒,93折,4280,3999,88,2026-09-06 00:03:02
8143213,LG,寵物版循環空氣清淨機一代-單層,48折,26800,12900,48,2026-09-06 00:03:02
11663033,dyson,V12 TC強勁輕量智慧無線吸塵器(雙主吸頭),71折,24900,17900,148,2026-09-06 00:03:02
11057968,BOBSON,顯瘦修身喇叭牛仔褲(10款任選),13折,3290,438,680,2026-09-06 00:03:02
4892335,統一LP33,健字號益生菌膠囊30顆*10盒,57折,12000,6888,59,2026-09-06 00:03:02
15325354,Samsung 三星,Galaxy S26 Ultra 5G 6.9吋(12G/512G/Snapdragon 8 Elite Gen 5/2億鏡頭畫素/AI手機),82折,50900,41900,30,2026-09-06 00:03:02
8666029,Sofy蘇菲,彈力貼身衛生棉,39折,1158,459,1,2026-09-06 00:03:02
13286588,台塑生醫醫之方,momo獨家舒暢益生菌PLUS加大版x2盒(共200包-李李仁代言-300億活菌.6種酵素.排便順暢),67折,5460,3699,500,2026-09-06 00:03:02
14687829,Autotek,4K+2K 電子後視鏡行車記錄器,73折,4999,3680,79,2026-09-06 00:03:02
14268002,TCL,85型MiniLED顯示器,67折,79900,53900,25,2026-09-06 00:03:02
15591156,小米,紅米 Note 17 Pro Max(12G/256G),93折,15999,14999,40,2026-09-06 00:03:02
15055635,聲寶,3坪一級變頻冷暖空調,76折,20900,15900,15,2026-09-06 00:03:02
14037284,氣機科技,撓定Vita 隨身能量淨化穩定機,87折,8799,7743,100,2026-09-06 00:03:02
15209759,石頭科技,Qrevo Edge2掃拖機器人,33折,59999,19999,48,2026-09-06 00:03:02
9779579,Logitech 羅技,M650多工靜音藍牙滑鼠,9折,1090,990,80,2026-09-06 00:03:02
14794219,老爺酒店集團,2張套組★聯合住宿券,83折,7980,6650,72,2026-09-06 00:03:02
14284872,初品果,台南麻豆40年老欉文旦10斤x2箱,49折,1400,699,500,2026-09-06 00:03:02
11103660,每朝健康,無糖綠茶650mlx2箱(共48入),58折,1872,1099,295,2026-09-06 00:03:02
14531292,MSI 微星,27型 IPS 144Hz 平面護眼商用螢幕,88折,3188,2818,46,2026-09-06 00:03:02
11329732,Berndes 寶迪,Universal Induction Pro不沾鍋炒鍋28cm,18折,6990,1299,531,2026-09-06 00:03:02
13159316,獅王,細潔無隱角牙刷12入,43折,1389,599,449,2026-09-06 00:03:02
10892237,I.RISS 伊莉絲,下殺180/件★萊卡無痕美胸內衣-多款選,45折,1580,718,399,2026-09-06 00:03:02
12638823,BRITA,去水垢濾芯(12入裝),85折,3276,2815,700,2026-09-06 00:03:02
8333154,3M,S301櫥下型生飲三道式淨水器特惠組,63折,14440,9111,96,2026-09-06 00:03:02
10689278,SK-II,青春露買330送180,46折,16534,7641,254,2026-09-06 00:03:02
10116136,倍潔雅,舒感柔韌150抽x70包,52折,1350,709,496,2026-09-06 00:03:02
15609166,麥當勞,3人超值分享餐,73折,542,399,763,2026-09-06 00:03:02
